id,slope,r_squared,slope_norm,n_phases,phase_sequence,peak_mass,peak_frame,trough_mass,mean_mass,active_fraction_t0,n_cells_t0,max_cell_area_t0,spatial_type,lifecycle_class,intensity_percentile,duration_frames,recommended_N_hint
S834546,-137254.8973469388,0.016735286146409928,-0.4163,1,D,30749466.0,28,129874.0,14394581.81632653,0.06285264756944445,14,6060,cluster,STEADY,15.2,49,1262
S830590,-8858.615918367348,0.15432406879004568,-0.0724,1,D,3283543.0,24,2013857.0,2718691.1428571427,0.23557535807291666,73,10949,cluster,STEADY,32.7,49,2500
S837266,13513.536836734695,0.7254218414907703,-0.0125,1,G,780143.0,31,37756.0,480450.3469387755,0.005038791232638889,20,151,quiescent,QUIESCENT,51.1,49,1505
S802597,11720.316836734695,0.08929780889306917,-0.0173,1,G,4708513.0,29,2871573.0,3911078.1224489794,0.24222819010416666,67,19359,cluster,STEADY,50.2,49,2500
S807367,102609.47397959183,0.8184249733362947,0.2261,2,G→D,12558294.0,36,7459700.0,10613758.102040816,0.4611409505208333,32,64815,mcs,GROWTH_DECAY,80.5,49,2500
S831830,41934.91040816327,0.7427674272845726,0.0636,1,G,5667673.0,31,3352676.0,5073394.102040816,0.2635430230034722,40,28036,cluster,STEADY,65.1,49,2500
S830300,4674.308979591838,0.7440665880093467,-0.0362,1,G,1419415.0,47,1119068.0,1296562.918367347,0.1338433159722222,151,11305,cluster,STEADY,43.6,49,2500
S797468,-8802.767346938777,0.049226325582940815,-0.0723,1,D,9164744.0,14,7164683.0,8394370.24489796,0.5467325846354166,19,80399,mcs,STEADY,32.8,49,1996
S822717,-816011.706122449,0.6135810761860294,-2.2343,2,P→G,37601280.0,0,2317604.0,15656422.530612245,1.0,1,147456,mcs,RAPID_DECAY,3.4,49,1550
S816570,678261.9045918363,0.3004046831184402,1.7679,2,G→D,37601280.0,25,244716.0,14685547.959183674,0.021857367621527776,9,2697,cluster,GROWTH_DECAY,93.4,49,971
S816338,53812.71959183674,0.8084204019507355,0.0954,1,G,4310384.0,38,1798793.0,3377409.0816326533,0.15648057725694445,64,10392,cluster,STEADY,69.8,49,2500
S834038,10420.44428571429,0.15421083196973656,-0.0208,1,G,3170092.0,27,1732216.0,2606390.0816326533,0.1485053168402778,51,14513,cluster,STEADY,48.4,49,2500
S816355,28279.996632653052,0.9762143962378181,0.027,1,G,1868372.0,48,365007.0,1049724.469387755,0.0439453125,72,1378,cluster,STEADY,57.6,49,2500
S818684,194127.4616326532,0.04477231947138538,0.4712,1,G,37601280.0,28,2458328.0,10299227.020408163,0.4650200737847222,56,61713,mcs,STEADY,84.7,49,2500
S818408,22396.367857142868,0.8812686674819237,0.0113,1,G,1966138.0,46,946126.0,1604183.530612245,0.10911051432291667,95,2556,cluster,STEADY,55.6,49,2500
S840088,-686494.7190816328,0.4085623963254883,-1.8874,2,G→D,37601280.0,3,2385506.0,14759735.653061224,0.18843587239583334,55,10924,cluster,GROWTH_DECAY,6.3,49,2500
S823589,14723.865918367348,0.8921753977513421,-0.0093,1,G,2797039.0,48,2105166.0,2492622.93877551,0.14234754774305555,29,12331,cluster,STEADY,51.9,49,2092
S820752,89280.34071428575,0.6786957137095639,0.1904,1,G,7293908.0,29,2407712.0,5551253.897959184,0.172607421875,45,11756,cluster,STEADY,78.7,49,2500
S826589,-46343.08010204082,0.9213353627711985,-0.1728,1,D,4975973.0,0,2895465.0,3823113.775510204,0.3377007378472222,38,44821,mcs,STEADY,21.9,49,2500
S841419,36081.06285714286,0.9378800888370655,0.0479,1,G,4290521.0,48,1817688.0,3242716.9591836734,0.11496988932291667,7,16113,cluster,STEADY,61.8,49,964
S830905,98869.81051020413,0.9305525889519959,0.2161,1,G,10037567.0,42,5436235.0,8445048.06122449,0.4008043077256944,28,54630,mcs,STEADY,80.1,49,2300
S815592,-87456.13234693879,0.0220327782493317,-0.283,1,D,37601280.0,19,2178451.0,9869181.489795918,0.5142008463541666,41,74485,mcs,STEADY,17.2,49,2500
S809420,51668.64306122448,0.4652580736916013,0.0897,1,G,10229785.0,29,6360695.0,8829698.75510204,0.4151340060763889,20,60037,mcs,STEADY,68.5,49,1915
S834840,990943.9909183674,0.7042815860065799,2.6054,1,D,37540814.0,40,2652983.0,16543421.81632653,0.2209404839409722,23,24431,cluster,RAPID_GROWTH,98.0,49,1870
S816221,65453.261122448974,0.9542297924948268,0.1266,1,G,2632817.0,48,19678.0,1102960.224489796,0.0031602647569444445,12,291,quiescent,QUIESCENT,73.4,49,1103
S838368,-73569.04448979592,0.05518627937221888,-0.2458,2,D→G,24320292.0,1,1075776.0,2951518.6530612246,0.6450330946180556,4,95040,mcs,EPISODIC,18.8,49,1345
S831990,11331.565204081633,0.6713893547906535,-0.0184,1,G,1347654.0,48,686552.0,955970.4693877551,0.08153618706597222,57,2798,cluster,STEADY,49.6,49,2500
S835549,7814.126734693863,0.1552859462041696,-0.0278,1,G,5124310.0,31,4255148.0,4790647.795918368,0.2846950954861111,9,41178,mcs,STEADY,46.5,49,1234
S797364,-7379.058061224493,0.10373546872002605,-0.0685,1,D,6213554.0,1,5114716.0,5656750.918367347,0.54083251953125,45,77875,mcs,STEADY,33.8,49,2500
S829732,75751.30346938776,0.9847847970470515,0.1542,1,G,4925873.0,48,1445324.0,3439421.0816326533,0.09733072916666667,17,9221,cluster,STEADY,74.9,49,1447
S816678,34384.90602040817,0.45715313978643807,0.0434,1,G,5414655.0,26,2443073.0,4543720.857142857,0.1846245659722222,71,14423,cluster,STEADY,61.0,49,2500
S834309,710520.9015306124,0.6334825626546027,1.8543,2,G→D,27220138.0,39,588107.0,11538678.326530613,0.048563639322916664,33,2334,cluster,GROWTH_DECAY,94.0,49,2198
S811516,-122230.52561224488,0.15860370298703366,-0.3761,1,D,37601280.0,0,5013169.0,8862552.836734693,1.0,1,147456,mcs,STEADY,15.7,49,1550
S827075,43993.57755102041,0.9059444683087653,0.0691,1,G,3839793.0,39,2143687.0,3104621.5918367347,0.17618815104166666,63,17430,cluster,STEADY,66.2,49,2500
S828074,-15786.927755102035,0.45329286527741325,-0.091,1,D,5947424.0,15,4904095.0,5438094.0612244895,0.3702596028645833,52,49195,mcs,STEADY,29.5,49,2500
S831439,-690209.1733673469,0.45680854274812493,-1.8973,1,D,37601280.0,0,46757.0,7155914.714285715,1.0,1,147456,mcs,RAPID_DECAY,6.1,49,1550
S817724,47216.16979591838,0.8647256544918118,0.0777,1,G,3484644.0,48,707864.0,1750744.4897959183,0.06486002604166667,43,5885,cluster,STEADY,67.7,49,2500
S810893,53169.48010204082,0.9858321046885381,0.0937,1,G,2335845.0,47,124213.0,1123079.469387755,0.013800726996527778,38,961,cluster,STEADY,69.3,49,2413
S815938,4904.212755102041,0.2097861955471276,-0.0356,1,G,1496549.0,25,1014822.0,1237703.142857143,0.1356743706597222,74,11224,cluster,STEADY,43.7,49,2500
S812378,42096.68285714285,0.7970439825340219,0.064,1,G,5074152.0,40,2995091.0,4381859.734693877,0.2602742513020833,61,25600,cluster,STEADY,65.2,49,2500
S793714,-13376.700000000003,0.8280936462846726,-0.0845,1,D,732601.0,0,27859.0,418709.8367346939,0.1072048611111111,116,6845,cluster,QUIESCENT,30.0,49,2500
S816863,-372819.34306122456,0.10375891014046167,-1.0473,2,G→D,37601280.0,10,588776.0,11724939.734693877,0.08857557508680555,86,2989,cluster,GROWTH_DECAY,11.3,49,2500
S810051,45305.33775510204,0.9746609461262457,0.0726,1,G,2431306.0,45,510027.0,1466959.9387755103,0.05476209852430555,51,6090,cluster,STEADY,66.7,49,2500
S822925,723124.7474489795,0.521694630469783,1.8881,1,G,37601280.0,39,1574149.0,9657780.448979592,0.1182861328125,92,5500,cluster,RAPID_GROWTH,94.1,49,2500
S829927,12490.912448979587,0.9519121753876256,-0.0153,1,G,965675.0,48,383271.0,686831.5306122449,0.05096435546875,47,3308,cluster,QUIESCENT,50.6,49,2500
S834169,974590.507755102,0.6417022817153684,2.5616,1,G,37583175.0,34,52397.0,11676216.673469387,0.006985134548611111,23,476,quiescent,RAPID_GROWTH,97.6,49,1656
S817791,8423.223469387754,0.7197220272879096,-0.0262,1,G,965394.0,35,460471.0,807196.0,0.04150390625,15,2602,cluster,STEADY,47.0,49,1291
S799410,772490.8213265305,0.5258125810627373,2.0203,1,G,37601280.0,39,205525.0,8330922.87755102,0.036126030815972224,156,1255,cluster,RAPID_GROWTH,95.1,49,2500
S838743,-511377.51765306125,0.35336641193559104,-1.4184,2,P→G,37601280.0,0,4263958.0,13808423.734693877,1.0,1,147456,mcs,RAPID_DECAY,9.8,49,1550
S818673,-33005.05530612244,0.8165752441229838,-0.1371,1,D,7923649.0,7,6538506.0,7256495.959183673,0.5876600477430556,79,81561,mcs,STEADY,24.4,49,2500
S830304,8238.122551020408,0.07922363564972786,-0.0267,1,G,3928120.0,20,2227331.0,3305497.8775510206,0.17915852864583334,59,17136,cluster,STEADY,46.9,49,2500
S828985,524895.8451020408,0.2304005094087107,1.3571,1,G,37596945.0,24,2824944.0,16457567.102040816,0.1847195095486111,23,22712,cluster,RAPID_GROWTH,90.5,49,1834
S836298,46497.55397959184,0.690081719771179,0.0758,2,G→D,6885725.0,24,3967277.0,6025621.653061224,0.33209228515625,49,32897,mcs,GROWTH_DECAY,67.3,49,2500
S832094,-34773.592755102036,0.6903621644237965,-0.1419,1,D,3587070.0,0,1489532.0,1924635.448979592,0.29388427734375,48,33541,mcs,STEADY,23.9,49,2500
S831916,427913.43775510206,0.2454548879086382,1.0974,1,G,37601280.0,34,1163131.0,8013003.87755102,0.11335584852430555,16,15945,cluster,RAPID_GROWTH,89.1,49,1413
S815893,-27152.648061224492,0.8605304699562853,-0.1214,1,D,3343269.0,2,1787499.0,2644848.2040816327,0.250732421875,54,19254,cluster,STEADY,25.9,49,2500
S821032,107538.0967346939,0.9891959275366677,0.2393,1,G,7937659.0,48,2455867.0,5182268.775510204,0.2060546875,32,30097,mcs,STEADY,81.1,49,2306
S808504,-24135.832857142857,0.1418476953472412,-0.1134,1,D,4596725.0,24,1499180.0,3433372.0408163266,0.2744479709201389,91,35687,mcs,STEADY,27.1,49,2500
S822328,127025.55,0.9840312712103048,0.2915,1,G,5788174.0,48,383598.0,3033622.3469387754,0.041741265190972224,17,1590,cluster,STEADY,83.0,49,1391
S821462,46682.13051020408,0.8598758062698977,0.0763,1,G,7365387.0,40,4783733.0,6331890.224489796,0.3453436957465278,81,42855,mcs,STEADY,67.5,49,2500
